sample,source_index,router_input_tokens,end_to_end_ms,model_only_ms
1,1874,34,39.96528500010754,39.70042499986448
2,344,38,41.445399000622274,40.15274700032023
3,2302,248,40.625749999890104,38.5221909991742
4,725,35,41.0646820000693,42.3751660000562
5,1871,30,40.61149700009992,39.14206900026329
6,1140,68,44.93306499989558,41.19114700006321
7,248,45,40.87272299966571,39.8711709995041
8,2724,34,40.2467069998238,43.241716000011365
9,1503,275,51.96157999944262,40.75971899965225
10,456,224,48.29539399997884,39.120656999330095
11,2794,39,42.408170999806316,40.998640999532654
12,2409,211,42.972110999471624,42.02719099976093
13,49,53,40.375353000854375,39.82566400009091
14,458,225,42.339666999396286,40.644738000082725
15,284,94,40.74417399988306,39.807634999306174
16,950,126,45.543350000116334,43.12083500008157
17,1131,55,40.30902199974662,38.89046199947188
18,1905,107,42.499445999965246,39.38558200025
19,2061,92,43.22694300026342,44.219170000360464
20,1733,30,42.13415100002749,40.41609399973822
21,1242,71,52.9748799999652,39.693415999863646
22,2684,43,50.57690499961609,40.881154999624414
23,1051,194,41.4398210004947,39.26471799968567
24,1156,77,43.02984799960541,40.60570000001462
25,1128,48,40.04645700024412,38.49228600029164
26,2641,34,40.15346500000305,40.03462499986199
27,2775,37,44.208130000697565,42.21570500067173
28,2605,33,41.62343600000895,39.28075499970873
29,1648,70,42.04598300020734,42.22407299948827
30,2011,173,41.55365799942956,39.4503170000462
31,1156,77,39.59002200008399,38.81350899973768
32,54,23,41.10769799990521,39.11203000006935
33,1662,69,41.705040999659104,53.128274000300735
34,2241,186,49.53830599970388,40.73397100000875
35,304,48,40.91483699994569,38.53583299951424
36,2532,27,41.86532600033388,40.50321300019277
37,1527,453,42.65781699996296,39.332262000243645
38,1472,512,42.60995999993611,38.79991599933419
39,2398,56,41.07357700013381,43.0172060005134
40,554,495,43.9201499993942,40.006077999350964
41,2722,38,39.46877399994264,39.337008000075
42,508,479,44.149096999717585,40.59846599921002
43,2084,245,44.13340500013874,42.17509200043423
44,2376,173,42.018023999844445,41.423295999265974
45,1835,30,42.06399299982877,53.964325999913854
46,245,59,49.5651330002147,42.625518000022566
47,1945,181,43.59739800020179,41.56337299991719
48,1535,440,44.68965500018385,40.09039599986863
49,2786,37,41.650616999504564,40.40240300037112
50,571,378,46.34345599970402,43.72855499968864
51,617,30,41.65403999923001,38.537704999725975
52,846,28,41.35996700006217,39.64954300045065
53,2356,268,43.426811000244925,44.0620619992842
54,2746,39,42.817835999812814,43.82426599931932
55,2721,36,40.952463000394346,39.31972600003064
56,777,47,42.29393700006767,42.54038599992782
57,2007,234,41.85661799965601,57.11092599995027
58,1921,135,41.82880000007572,39.28671699941333
59,891,76,41.49531299935916,39.76272500040068
60,2157,284,42.661481000322965,39.944152000316535
61,1843,28,41.39979800038418,40.503703000467794
62,810,34,41.12174700003379,41.17632599991339
63,968,113,39.49723999994603,40.092391000143834
64,411,266,42.89809200054151,41.90376499991544
65,1123,49,48.74389400083601,65.09876699965389
66,2170,335,65.53236900072079,58.37443400014308
67,1650,238,55.05788999926153,50.26842300048884
68,1275,122,59.68424000002415,59.104863000357
69,2346,211,72.17075399967143,52.443495000261464
70,809,33,51.33694799951627,50.24615499951324
71,526,437,56.65652399966348,54.001354000320134
72,594,407,57.35981299949344,55.313275000116846
73,1230,60,55.30884600011632,49.6122380000088
74,2764,37,52.97196300034557,51.8245229995955
75,1555,57,56.45365899999888,51.970266999887826
76,1816,33,52.83029499969416,53.291217999685614
77,2367,469,57.891116999599035,54.428793000624864
78,1470,512,70.66825499987317,60.253270999965025
79,1608,76,71.20884699997987,60.06374200023856
80,321,182,66.00666000031197,62.03230899973278
81,826,41,55.64810000032594,58.310698000241246
82,2564,208,55.6585839995023,49.112593999780074
83,2082,326,59.20695799977693,63.49601999954757
84,935,113,67.10280000061175,62.45900100020663
85,1686,68,71.37652699930186,65.94657200002985
86,2222,212,69.63813199945434,48.325533000024734
87,150,53,40.096279999488615,50.26248000012856
88,2544,99,41.915004999282246,41.604236000239325
89,766,36,41.6745330003323,40.44817799967859
90,578,223,40.61420300058671,38.874566000231425
91,2536,66,44.129458000497834,42.1833290001814
92,2749,41,44.83852300018043,49.9282350001522
93,469,416,46.11109100005706,42.29182400013087
94,2513,122,43.52125999957934,42.79598500033899
95,1542,47,40.90024200013431,41.41810199962492
96,1591,47,41.75508400021499,48.930429000392905
97,1324,127,42.30029900008958,40.435709999655955
98,2036,243,40.77244800009794,39.193393000459764
99,1664,46,40.90380800062121,53.21563799952855
100,779,43,41.397291000066616,41.44538899981853
